"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"695","Fire Station #13","530 Sansome St","San Francisco","94111","0206017","Own","38","Fire Department","18,790","-122.40135015599998","37.79551871100006","3",,"336","POINT (-122.401350156 37.795518711)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1819","Victoria Manalo Draves Bathrooms","55 Sherman St","San Francisco","94103","3754016","Own","49","Recreation And Parks",,"-122.40602660899998","37.77676358800005","6",,"561","POINT (-122.406026609 37.776763588)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3265","Mission Family Center","759 South Van Ness Ave","San Francisco","94110",,"Lease","9","Non-City",,"-122.41683774299997","37.76102916900004","9","Public Health",,"POINT (-122.416837743 37.761029169)","2017/12/26 08:03:21 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"840","Hamilton Rec Center","1900 Geary Blvd","San Francisco","94115","0703002","Own","49","Recreation And Parks","13,527","-122.43528773699995","37.78457367300007","5",,"117","POINT (-122.435287737 37.784573673)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1572","SFUSD -- SPEd Medical Therapy Unit (Laguna)","1015 Laguna St","San Francisco","94102","0758027","Own","16","School District (Sfusd)",,"-122.42731505899997","37.780627663000075","5",,"415","POINT (-122.427315059 37.780627663)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1194","Nursery Cold Frames","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46226988099994","37.76868561600003","7",,"56","POINT (-122.462269881 37.768685616)","2019/02/11 07:19:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3261","564 6th St - Offices","564 6th St","San Francisco","94103",,"Lease","9","Non-City",,"-122.40171173599998","37.77513883100005","6","Adult Probation",,"POINT (-122.401711736 37.775138831)","2017/12/20 11:48:24 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1031","Lowell High","1101 Eucalyptus Dr","San Francisco","94132","7298006","Own","16","School District (Sfusd)",,"-122.483402007","37.73062352900007","4",,"865","POINT (-122.483402007 37.730623529)","2017/03/17 10:18:56 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3514","Behavioral Health Services Site","822 Geary St","San Francisco","94109","0302034","Own","72","Public Health",,"-122.41697942899998","37.78642417000003","3",,"1,292","POINT (-122.416979429 37.78642417)","2022/10/03 09:07:32 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1590","Shorey Childrens Center","1030 Oakdale Ave","San Francisco","94124","4714007","Own","52","Human Services Agency","9,700","-122.38008062299997","37.72903465700006","10",,"190","POINT (-122.380080623 37.729034657)","2023/08/03 04:30:15 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"70","Streetlight Warehouse","639 Bryant St","San Francisco","94107","3777052","Own","42","Municipal Transportation Agency","6,400","-122.39860957499997","37.77865813600005","6",,"482","POINT (-122.398609575 37.778658136)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1790","Twin Peaks Reservoir","199 Marview Way","San Francisco","94117","2719C023","Own","47","Public Utilities Commission",,"-122.44860157999994","37.75612505700008","7",,"52","POINT (-122.44860158 37.756125057)","2019/09/11 10:25:31 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"190","Hunters Point Shipyard Building 606","606 Manseau St","San Francisco","94124","4591A085","Own","45","Police Department","90,000","-122.36743644499995","37.720502415000055","10",,"1,269","POINT (-122.367436445 37.720502415)","2025/10/21 05:31:45 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"627","Edison Charter Academy Elementary","3531 22nd St","San Francisco","94114","3630001","Own","16","School District (Sfusd)","59,200","-122.42626570999994","37.754436242000054","8",,"459","POINT (-122.42626571 37.754436242)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3303","Wholesale Produce Market - 901 Rankin","901 Rankin St","San Francisco","94124","5281020","Own","63","Gsa - Real Estate Division",,"-122.39521156299998","37.74096298500007","10",,"165","POINT (-122.395211563 37.740962985)","2018/05/25 10:56:53 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1580","Sharon Meadow Bathroom","320 Bowling Green Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.45828314599999","37.768321582000056","7",,"56","POINT (-122.458283146 37.768321582)","2019/02/11 07:46:10 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1970","Pier 70 - Pier 68 - Checkhouse #2, Bldg. #123","590 20TH ST","San Francisco","94107","9900070","Own","46","Port","1","-122.38595231199997","37.76203009900007","10",,"370","POINT (-122.385952312 37.762030099)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"330","Cabin #70 & #71","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1002","Leach Fields","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85613576899999","37.881269985000074",,,"1,199","POINT (-119.856135769 37.881269985)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2002","Pier 70 - SWL 349 - UIW Machine Shop, Bldg. #114","420 22nd St","San Francisco","94107","4111003","Own","46","Port","8,000","-122.38300091999997","37.76039202100003","10",,"733","POINT (-122.38300092 37.760392021)","2018/01/18 10:07:25 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
